===== wnba_2000_totals.txt =====
Player,Team,Pos,G,MP,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,PTS
Katie Smith*,MIN,G,32,1193,32,32,1193,203,482,",421",88,232,",379",115,250,",460",152,175,",869",28,93,90,44,7,76,71,646
Chamique Holdsclaw,WAS,F,32,1131,32,32,1131,232,499,",465",10,39,",256",222,460,",483",87,128,",680",57,240,80,47,18,93,74,561
Shannon Johnson,ORL,G,32,1126,32,32,1126,122,309,",395",30,90,",333",92,219,",420",107,144,",743",53,155,169,58,7,102,83,381
Andrea Stinson,CHA,G,32,1123,32,32,1123,214,463,",462",38,106,",358",176,357,",493",99,134,",739",35,136,121,55,23,86,77,565
Adrienne Johnson,ORL,G,32,1100,32,31,1100,175,393,",445",52,148,",351",123,245,",502",34,38,",895",30,90,54,24,3,56,59,436
Dawn Staley*,CHA,G,32,1099,32,32,1099,94,253,",372",29,88,",330",65,165,",394",65,74,",878",21,77,190,37,1,91,80,282
Taj McWilliams-Franklin,ORL,F-C,32,1098,32,32,1098,173,330,",524",5,17,",294",168,313,",537",87,122,",713",90,244,54,59,31,83,86,438
Vicky Bullett,WAS,F,32,1094,32,32,1094,143,294,",486",11,34,",324",132,260,",508",45,63,",714",61,183,42,64,47,58,88,342
Brandy Reed,PHO,F,32,1090,32,30,1090,231,456,",507",18,43,",419",213,413,",516",128,142,",901",59,188,86,66,21,90,52,608
Sheryl Swoopes*,HOU,F-G,31,1090,31,31,1090,245,484,",506",34,91,",374",211,393,",537",119,145,",821",40,195,119,87,33,82,67,643
Tina Thompson*,HOU,F,32,1087,32,32,1087,191,407,",469",55,132,",417",136,275,",495",103,123,",837",68,245,48,47,25,84,88,540
Cynthia Cooper*,HOU,G,31,1085,31,31,1085,180,392,",459",43,121,",355",137,271,",506",147,168,",875",17,85,156,39,6,99,61,550
Teresa Weatherspoon*,NYL,G,32,1078,32,32,1078,67,153,",438",11,44,",250",56,109,",514",60,81,",741",16,109,204,65,5,86,85,205
Sophia Witherspoon,POR,G,32,1061,32,32,1061,175,456,",384",60,163,",368",115,293,",392",128,147,",871",23,105,68,38,8,88,72,538
Nikki McCray,WAS,G,32,1046,32,32,1046,167,385,",434",50,151,",331",117,234,",500",113,147,",769",22,56,85,45,5,89,79,497
Murriel Page,WAS,F,32,1046,32,32,1046,131,222,",590",0,0,0,131,222,",590",52,92,",565",79,208,64,23,32,63,103,314
Natalie Williams,UTA,C,29,1039,29,29,1039,179,365,",490",3,5,",600",176,360,",489",182,228,",798",132,336,51,35,18,79,124,543
Monica Maxwell,IND,F,32,1029,32,32,1029,110,285,",386",62,156,",397",48,129,",372",50,58,",862",40,160,63,49,16,64,92,332
Lisa Leslie*,LAS,C,32,1028,32,32,1028,197,430,",458",7,32,",219",190,398,",477",169,205,",824",75,306,60,31,74,103,134,570
Yolanda Griffith*,SAC,C-F,32,1026,32,32,1026,193,361,",535",0,0,0,193,361,",535",137,194,",706",148,331,47,83,61,82,110,523
Vickie Johnson,NYL,G-F,31,1023,31,31,1023,143,324,",441",27,71,",380",116,253,",458",67,76,",882",40,137,77,22,5,57,48,380
Rita Williams,IND,G,32,1014,32,29,1014,112,274,",409",49,131,",374",63,143,",441",79,108,",731",22,95,101,76,3,69,69,352
Nykesha Sales,ORL,F-G,32,995,32,32,995,170,383,",444",47,119,",395",123,264,",466",43,62,",694",43,139,69,47,12,67,92,430
Betty Lennox,MIN,G,32,984,32,31,984,201,471,",427",55,139,",396",146,332,",440",84,105,",800",53,178,82,53,9,97,112,541
DeLisha Milton-Jones,LAS,F,32,983,32,32,983,150,293,",512",2,8,",250",148,285,",519",76,102,",745",55,194,68,44,29,67,124,378
Sonja Henning,SEA,G,32,980,32,32,980,53,151,",351",25,66,",379",28,85,",329",37,61,",607",22,86,79,61,3,54,73,168
Tari Phillips,NYL,F-C,31,978,31,30,978,170,364,",467",2,8,",250",168,356,",472",85,130,",654",86,247,28,59,21,85,110,427
Janeth Arcain,HOU,G,32,977,32,32,977,109,233,",468",9,45,",200",100,188,",532",41,49,",837",36,119,60,42,3,53,66,268
Merlakia Jones,CLE,G,32,948,32,32,948,153,323,",474",14,45,",311",139,278,",500",32,47,",681",52,139,63,29,2,60,86,352
Mwadi Mabika,LAS,G,32,940,32,32,940,130,335,",388",61,159,",384",69,176,",392",73,89,",820",45,179,98,58,18,51,117,394
Ticha Penicheiro,SAC,G,30,936,30,30,936,68,185,",368",10,50,",200",58,135,",430",62,107,",579",12,89,236,70,6,71,71,208
Kedra Holland-Corn,SAC,G,32,934,32,32,934,111,253,",439",44,122,",361",67,131,",511",46,66,",697",28,70,81,43,5,74,63,312
Sylvia Crawley,POR,F,31,930,31,30,930,143,298,",480",0,2,",000",143,296,",483",71,102,",696",64,185,34,29,24,88,96,357
Adrienne Goodson,UTA,F,29,929,29,28,929,199,415,",480",8,29,",276",191,386,",495",92,134,",687",69,164,69,41,7,81,67,498
Tonya Edwards,PHO,G,32,926,32,32,926,112,298,",376",35,114,",307",77,184,",418",79,101,",782",19,76,58,36,9,63,80,338
Tangela Smith,SAC,C,32,925,32,32,925,176,371,",474",0,0,0,176,371,",474",36,46,",783",61,178,43,30,64,60,107,388
Wendy Palmer,DET,F,32,914,32,30,914,167,373,",448",12,48,",250",155,325,",477",95,135,",704",67,219,39,20,10,65,112,441
Chasity Melvin,CLE,C-F,32,904,32,32,904,136,289,",471",1,7,",143",135,282,",479",100,137,",730",69,172,61,29,18,62,113,373
Sheri Sam,MIA,G-F,31,904,31,27,904,147,380,",387",35,120,",292",112,260,",431",67,100,",670",38,132,66,35,5,74,67,396
Tamecka Dixon,LAS,G,31,882,31,31,882,132,291,",454",12,34,",353",120,257,",467",62,77,",805",34,105,96,40,10,60,86,338
Katrina Colleton,MIA,F,32,873,32,32,873,103,293,",352",5,21,",238",98,272,",360",53,70,",757",15,63,50,27,7,65,65,264
Marlies Askamp,MIA,C,32,869,32,32,869,85,209,",407",1,2,",500",84,207,",406",80,117,",684",96,231,29,17,21,49,95,251
