===== wnba_2025_totals.txt =====
Player,Team,Pos,G,MP,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,PTS
Kelsey Plum,LAS,G,43,1508,43,43,1508,261,618,",422",99,279,",355",162,339,",478",218,244,",893",10,132,247,53,4,131,117,839
Allisha Gray,ATL,G,42,1451,42,42,1451,246,546,",451",98,255,",384",148,291,",509",183,229,",799",36,223,147,45,15,74,109,773
Sonia Citron,WAS,G,44,1415,44,44,1415,223,474,",470",81,182,",445",142,292,",486",130,149,",872",29,174,104,55,17,91,94,657
Gabby Williams,SEA,F,44,1391,44,44,1391,198,469,",422",50,164,",305",148,305,",485",64,75,",853",24,189,185,99,21,84,64,510
Kelsey Mitchell,IND,G,44,1381,44,44,1381,315,691,",456",111,282,",394",204,409,",499",149,190,",784",18,77,150,39,7,78,88,890
Dearica Hamby,LAS,F,44,1374,44,44,1374,324,566,",572",15,54,",278",309,512,",604",148,236,",627",113,349,144,69,21,117,119,811
Chelsea Gray,LVA,G,44,1368,44,44,1368,169,385,",439",63,171,",368",106,214,",495",92,104,",885",25,173,239,62,28,125,89,493
Nneka Ogwumike,SEA,F,44,1359,44,44,1359,320,617,",519",66,180,",367",254,437,",581",97,118,",822",59,309,99,50,18,85,83,803
Skylar Diggins,SEA,G,43,1343,43,43,1343,228,539,",423",62,170,",365",166,369,",450",149,189,",788",27,108,258,52,35,91,101,667
Jackie Young,LVA,G,44,1336,44,44,1336,260,547,",475",80,223,",359",180,324,",556",127,142,",894",52,196,226,57,18,98,106,727
Aliyah Boston,IND,C-F,44,1327,44,44,1327,271,504,",538",6,29,",207",265,475,",558",112,147,",762",107,361,163,52,41,81,136,660
Veronica Burton,GSV,G,44,1292,44,44,1292,149,385,",387",61,177,",345",88,208,",423",166,189,",878",50,192,265,50,27,94,103,525
Courtney Williams,MIN,G,44,1260,44,44,1260,248,580,",428",58,149,",389",190,431,",441",45,53,",849",23,216,271,55,14,101,86,599
Azura Stevens,LAS,F-C,44,1249,44,44,1249,204,427,",478",74,194,",381",130,233,",558",79,100,",790",74,352,94,54,47,64,98,561
A'ja Wilson,LVA,C,40,1247,40,40,1247,332,658,",505",25,59,",424",307,599,",513",248,290,",855",91,407,122,64,92,87,75,937
Jewell Loyd,LVA,G,44,1245,44,25,1245,166,427,",389",100,262,",382",66,165,",400",59,71,",831",49,142,81,52,11,53,85,491
Bridget Carleton,MIN,F,44,1227,44,44,1227,102,254,",402",63,169,",373",39,85,",459",18,25,",720",39,158,89,37,12,33,83,285
Tina Charles,CON,C,43,1222,43,42,1222,260,593,",438",12,46,",261",248,547,",453",168,196,",857",62,248,74,33,19,82,89,700
Alyssa Thomas,PHO,F,39,1221,39,39,1221,241,453,",532",0,6,",000",241,447,",539",117,169,",692",64,344,357,62,17,135,82,599
Kayla McBride,MIN,G,39,1220,39,39,1220,178,428,",416",103,261,",395",75,167,",449",95,105,",905",10,89,137,49,3,67,53,554
Ezi Magbegor,SEA,F-C,44,1203,44,44,1203,141,286,",493",14,48,",292",127,238,",534",57,83,",687",85,272,92,30,96,43,126,353
Paige Bueckers,DAL,G,36,1199,36,36,1199,259,543,",477",39,118,",331",220,425,",518",135,152,",888",25,142,194,57,18,72,82,692
Sabrina Ionescu,NYL,G,38,1194,38,38,1194,230,573,",401",81,271,",299",149,302,",493",152,163,",933",30,185,216,48,16,100,63,693
Brittney Sykes,TOT,G,39,1194,39,38,1194,174,457,",381",31,102,",304",143,355,",403",171,219,",781",20,123,155,48,14,98,99,550
Natasha Cloud,NYL,G,41,1191,41,41,1191,151,349,",433",52,154,",338",99,195,",508",60,69,",870",14,151,211,49,14,77,119,414
Lexie Hull,IND,G,44,1189,44,30,1189,118,299,",395",55,150,",367",63,149,",423",26,36,",722",62,190,79,51,7,41,121,317
Kiki Iriafen,WAS,F,44,1185,44,44,1185,222,455,",488",2,11,",182",220,444,",495",138,176,",784",114,376,69,26,7,96,126,584
Rickea Jackson,LAS,F,38,1173,38,37,1173,205,483,",424",65,187,",348",140,296,",473",83,98,",847",38,122,64,23,14,78,71,558
Brionna Jones,ATL,F,44,1169,44,44,1169,225,427,",527",12,46,",261",213,381,",559",102,132,",773",136,319,95,48,36,64,109,564
Rhyne Howard,ATL,G,33,1151,33,32,1151,187,499,",375",102,317,",322",85,182,",467",101,118,",856",31,148,153,51,27,55,96,577
Erica Wheeler,SEA,G,44,1126,44,24,1126,168,420,",400",76,204,",373",92,216,",426",43,50,",860",17,119,144,56,9,68,112,455
